probe_id;archetype;prompt_text;base_response_text;legends_tuned_response_text;regulation_tuned_response_text
P3-03;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A company's internal harassment investigation has substantiated a complaint of repeated sexual harassment by a senior manager against a direct report.

A. Issue a company-wide zero-tolerance statement reaffirming the harassment policy without changing the manager's role or initiating a formal disciplinary process.
B. Suspend the manager's line-management authority pending a formal disciplinary hearing, provide trauma-informed support to the complainant, and review the adequacy of the existing reporting channel in line with ILO Convention No. 190.
C. Offer the complainant a transfer to a different team as a practical resolution to avoid further disruption.
D. Provide mandatory harassment-awareness training to the entire management cohort for the coming quarter.";"B -> D -> A -> C

B is ranked highest as it mirrors the EU Gender Equality Strategy's emphasis on implementing effective measures against harassment, ensuring accountability, support for the complainant, and alignment with international standards like ILO Convention No. 190.

D ranks second as providing training broadly supports cultural change and increased awareness, though it lacks the immediate accountability actions taken in B, making it less directly responsive to the specific incident.

A is ranked third because issuing a statement without consequential actions on the manager's role or a disciplinary process falls short of the proactive and comprehensive response necessary to address such substantiated complaints compared to D.

C ranks last as transferring the complainant rather than addressing the perpetrator's behavior or the systemic issues is inconsistent with the EU's directive for protective and preventive measures, focusing instead on avoiding organizational discomfort.";"B -> D -> A -> C

B combines suspension as an immediate risk mitigant, direct trauma-informed support to the victim and a structural review benchmarked against ILO Convention No. 190, offering a multi-layered rather than declaratory response. D leverages training as structural prevention without directly addressing the immediate case or channel exposure B identifies. A repeats policy language but does not act on this specific substantiation or change the power imbalance it exposed. C frames avoidance as resolution by effectively displacing the victim without system or perpetrator consequences.";"B -> D -> C -> A

B. By combining protective suspension, support, disciplinary process, and reporting-channel review, this option best aligns with the Directive 2006/54/EC requirement for effective, proportionate, and dissuasive prevention. Its grounding in ILO standards further integrates external best practice.

D. Position-wide training for the whole management cohort ranks below individual remedial leverage but above relocation, because it spreads awareness across potential initiators rather than only managing the consequence. System-wide reinforcement is treated as the next best preventive step.

C. Because relocation addresses only the immediate interaction rather than the organisation's underlying conditions, it is ranked below awareness training. Elective transfer can be protective but does not mitigate risk in the original team or contact network.

A. Reissuing policy wording without role change or procedure escalation is treated as the least substantive response to a substantiated finding. Because its horizontal signalling lacks any vertical consequence, it is placed lowest."
P3-04;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An employer's parental-leave data shows that only 4% of male employees take the non-transferable two-month parental leave to which they are entitled under the Work-Life Balance Directive (EU) 2019/1158.

A. Add a web page to the company intranet explaining the parental leave entitlement in gender-neutral terms.
B. Introduce a 100% pay replacement for the non-transferable leave period, communicate this change proactively to all employees and their managers, and set a measurable target for male parental-leave uptake with annual reporting.
C. Include a reference to male parental leave in the next all-staff newsletter and encourage managers to 'support employees who wish to take leave.'
D. Wait for employee demand to increase organically as societal norms shift, on the grounds that uptake cannot be mandated.";"B -> A -> C -> D

B ranks highest as it aligns with the EU Gender Equality Strategy 2020-2025 and the Work-Life Balance Directive 2019/1158 by actively promoting parental leave uptake through economic incentives and organizational accountability, directly addressing the directive's aim to encourage gender-balanced leave-taking. A is less effective than B because, while it increases awareness of the entitlement, it lacks the financial incentive and accountability mechanisms that B includes to drive behaviour change. C ranks lower than A as mentioning leave in a newsletter is a passive approach that does not effectively target gender imbalances or engage leaders, which are critical elements emphasized in the strategy. D is the least consistent with the strategy as it relies on a passive approach, failing to implement any measures or tools to encourage male uptake of parental leave despite the EU's emphasis on proactive support and change in workplace culture.";"B -> A -> C -> D

B combines financial optimisation, targeted communication, and a measurable target with annual reporting, making it the only option that actively leverages the Work-Life Balance Directive (EU) 2019/1158 to shift actual uptake. A adds a gender-neutral online explanation but lacks the economic and monitoring components that B deploys to drive change. C uses a newsletter and vague encouragement but provides no structural incentive or measurement, making it weaker still. D abdicates responsibility entirely and assumes change will occur without intervention.";"B -> A -> C -> D

By aligning with the Directive's non-transferable entitlement and combining financial, communications, and monitoring measures, the action directly addresses the uptake gap between male and female employees. Rather than relying solely on employee demand, it reflects the more proactive and structural approach called for by the Strategy."
P3-05;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A public-sector body's workforce data shows that women make up 48% of the overall workforce but only 11% of director-level roles. No succession plan currently exists.

A. Set a headline commitment to 'increasing diversity' without specifying targets, timelines, or accountability mechanisms.
B. Develop a gender-mainstreamed succession planning process with documented gender-balance targets at director level, a pipeline development programme for senior women, and annual board reporting on progress.
C. Organise a leadership confidence programme exclusively for women to address perceived capability gaps.
D. Require gender-balanced shortlists for all director vacancies and integrate gender-balance progress into senior managers' performance objectives.";"B -> D -> C -> A

B ranks highest as it is directly in line with the EU Gender Equality Strategy 2020-2025 and the broader EU acquis by incorporating explicit targets, institutional accountability, and structural pipeline improvements, which are essential for advancing gender equality in leadership roles. D is less comprehensive than B because, while it promotes balanced recruitment practices and accountability, it lacks the broader systemic approach of succession planning and ongoing development initiatives for potential female leaders. C ranks lower than D because, although it provides targeted support for women, it addresses only one aspect (skills development) and lacks structural measures for changing recruitment and succession processes. A is the least aligned action as it makes a non-specific commitment that lacks the concrete measures, targets, or accountability needed to drive meaningful change towards gender parity in leadership roles.";"B -> D -> C -> A

B combines documented targets, pipeline development, and annual board reporting, making it the most comprehensive response aligned with the EU Gender Equality Strategy 2020-2025. D pairs shortlist requirements with accountability for managers, addressing both selection and internal pressure but without the pipeline dimension. C focuses narrowly on psychological factors without structural or accountability elements, while A's unspecified commitment lacks any mechanism to produce real change.";"B -> D -> C -> A

By combining pipeline development, explicit targets, and board-level accountability, this action addresses both supply and demand sides of the director-level gap and aligns most closely with the mainstreaming approach in EU gender-equality law."
P3-06;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An AI-driven recruitment tool used by a technology firm has been found to under-select women candidates at the shortlisting stage by 26 percentage points relative to men.

A. Add a disclaimer to the recruitment process documentation noting that the tool is 'one input among many' and that human review applies.
B. Suspend the tool pending a documented fundamental-rights and algorithmic-bias impact assessment, renegotiate the vendor contract to include audit rights and bias-mitigation obligations, and publish the findings of the assessment.
C. Require hiring managers to manually review all female applications rejected by the tool before finalising shortlists.
D. Replace the tool with a different vendor's product that markets itself as 'bias-aware' without conducting an independent audit of its methodology.";"B -> C -> D -> A

B ranks highest as it directly addresses the issues of bias and discrimination as highlighted by the EU Gender Equality Strategy 2020-2025, and aligns with the EU's broader legal framework on non-discrimination and ethical AI by conducting impact assessments and mandating transparency and accountability with vendor obligations. C is less comprehensive than B because, while it implements an immediate bias-check through manual review, it lacks the structural change and transparency objectives addressed by impact assessments and contractual obligations. D ranks lower than C as it merely replaces the tool without verifying the new tool's effectiveness or bias correction through an independent audit, risking continued discrimination or new biases. A is the least aligned with the EU strategy as it provides only a cosmetic disclaimer without addressing underlying biases or taking proactive steps for ensuring fairness and equality in the recruitment process.";"B -> C -> D -> A

B addresses both the immediate risk and the structural cause by conducting a documented impact assessment, altering contractual terms, and publishing the findings, thereby aligning fully with the accountability and transparency mandates of the EU Gender Equality Strategy 2020-2025. C introduces a manual safeguard specifically targeting women candidates but does not address the underlying algorithmic issue or vendor accountability. D swaps vendors without an independent audit and so offers less transparency than B or C. A adds a disclaimer but lacks any mechanism to affect operational outcomes.";"B -> C -> A -> D

By aligning directly with the AI regulatory measures announced in the Strategy and applying both a technical and contractual response, this action treats algorithmic bias as a fundamental-rights issue rather than a process irregularity."
P3-07;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A company's marketing campaigns have consistently used imagery that sexualises women in professional settings. Internal staff surveys link the imagery to a 'lookist' workplace culture.

A. Retain the existing creative direction for the current season and revisit the policy at the next brand refresh.
B. Adopt a documented marketing-content review policy including a sign-off checklist aligned with the EU Strategy's commitment to eliminating gender stereotypes, applying it to all future campaigns including heritage work.
C. Feature senior women executives in a standalone 'women leaders' campaign to offset the existing imagery.
D. Instruct the creative agency to 'tone down' the most explicit images while preserving the overall campaign concept.";"B -> C -> D -> A

B ranks highest as it actively aligns with the EU Gender Equality Strategy 2020-2025 by implementing a structured policy to eliminate gender stereotypes in marketing content, thus addressing both immediate and long-term gender equality objectives. C is less comprehensive than B, as it provides a counter-message through featuring women leaders, but does not systematically address or rectify the ongoing harmful imagery and stereotypes. D ranks lower than C because, while it attempts to modify explicit content, it fails to address the root issue of gender stereotype perpetuation and lacks a systematic approach for preventing future issues. A is the least aligned with the strategy, as it opts to maintain the status quo without taking any corrective action or planning, thereby perpetuating the existing negative impact on workplace culture and gender equality.";"B -> C -> D -> A

B embeds stereotyping elimination into a documented operational procedure with checklists binding all future work, thus treating the problem as structural rather than aesthetic. C offsets the imagery by highlighting women leaders, addressing representation but not the underlying policy. D asks for cosmetic changes rather than a systemic fix, shifting some imagery without altering the framework. A defers any action to the next refresh and thereby tolerates another cycle of damaging imagery.";"B -> D -> C -> A

By translating the stereotype-elimination commitment into an operational review policy covering all campaigns, this action extends beyond corrective messaging and addresses the normalisation mechanism that drives culture."
P3-08;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An EU-funded development programme in a partner country has found that 82% of its beneficiaries are male, despite a target of gender-balanced participation.

A. Note the imbalance in the next annual report and commit to reviewing it at the mid-term evaluation in two years.
B. Commission a documented analysis of the structural barriers to women's participation, redesign the programme's outreach and eligibility criteria in response to the findings, and set a gender-disaggregated participation target with quarterly monitoring aligned with the Gender Action Plan III.
C. Add female-focused content to one module of the programme while leaving the overall design unchanged.
D. Reclassify the participation target as 'aspirational' rather than binding to accommodate the delivery context.";"B -> C -> A -> D

B ranks highest as it actively seeks to identify and address structural barriers to women's participation, aligns with the EU Gender Equality Strategy 2020-2025, and the Gender Action Plan III by adapting programme delivery to ensure equal opportunities, and implements concrete measures for accountability and monitoring. C is less comprehensive than B because it adds female-focused content but does not address the systemic issues affecting women's participation in the programme as a whole. A ranks lower than C because it merely notes the imbalance without immediate action or redesign, delaying potential corrective measures that are necessary to meet gender balance targets. D is the least aligned with the strategy, as it downgrades the importance of the gender-balance target by making it 'aspirational,' thereby neglecting the commitment to achieving gender equality and the importance of binding targets for accountability.";"B -> C -> A -> D

B combines documented barrier analysis with redesign, gender-disaggregated targets, and quarterly monitoring, making it the only option that treats the target as operational rather than rhetorical. C adds content without altering the structural mechanisms that B addresses. A notes the problem and defers action to future evaluation, tolerating an additional two-year delivery period without intervention. D actively weakens the existing target and so maximises the gap between rhetoric and practice.";"B -> C -> A -> D

By requiring a formal barrier analysis and aligning corrective measures with the Action Plan's binding target logic, this action treats the imbalance as a structural failure rather than a delivery difficulty."
P3-09;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A municipality's planning department has received analysis showing that its transport network routes are poorly matched to female-dominated mobility patterns (multi-stop, off-peak, care-related travel).

A. Note the analysis in the transport strategy background document without adjusting service-planning priorities.
B. Integrate gender-disaggregated mobility data into the route-planning model, commission a gender impact assessment of the existing network, and set targets for off-peak frequency improvements on identified high-need routes with annual disclosure.
C. Launch a public consultation on transport needs open to all residents and incorporate the results into the next strategy cycle.
D. Publish a report on the gender mobility gap to raise awareness, without committing to specific service changes.";"B -> C -> D -> A

B ranks highest as it directly integrates gender-disaggregated data into planning processes, aligns with the EU Gender Equality Strategy 2020-2025 by addressing specific needs through impact assessments and setting improvement targets, and commits to accountability through annual disclosure. C is less comprehensive than B, as it involves public engagement and potential integration of insights into future strategy, but lacks the immediate and structured action plan and specific targets that B offers. D ranks lower than C because it raises awareness of the issue without leading to actionable changes or planning adjustments, whereas public consultation offers the potential, albeit delayed, incorporation of findings. A is the least aligned with the strategy since it merely acknowledges the analysis without making any commitments or changes to meet the gender-specific mobility needs highlighted, thus maintaining the status quo.";"B -> C -> D -> A

B operationalises the analysis by embedding gender data into planning, conducting an impact assessment, and setting measurable off-peak targets with public disclosure, thereby addressing the gap within the operational logic of the transport system. C adds a broad consultation but links its output only to the next strategy cycle rather than current planning procedures. D raises awareness but stops short of implementing any mechanism to close the gap. A records the analysis without using it to alter delivery priorities and so ranks last.";"B -> C -> D -> A

By embedding quantitative gender data and impact assessment into the planning process itself and linking it to specific service metrics, this action aligns most closely with the mainstreaming-through-infrastructure commitments in the Strategy."
P3-10;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A university's Horizon Europe-funded research consortium has no Gender Equality Plan, which is a mandatory eligibility condition for public-research bodies.

A. Attach the university's existing diversity statement to the application and describe it as meeting the GEP requirement.
B. Develop and publish a Gender Equality Plan meeting all five mandatory Horizon Europe criteria — public document, dedicated resources, data collection and monitoring, training, and gender-balance targets — before submitting the application.
C. Submit the application and address the GEP requirement during the project implementation phase if raised by the programme officer.
D. Partner with a smaller institution that already has a GEP on file and list it as a consortium partner to satisfy the requirement administratively.";"B -> D -> A -> C

B ranks highest because it thoroughly addresses the EU Gender Equality Strategy 2020-2025 by fulfilling the Horizon Europe's mandatory criteria comprehensively, ensuring long-term commitment to gender equality through concrete planning and transparency prior to application submission. D is less effective than B as it attempts to meet the requirement indirectly by relying on a partner's compliance rather than establishing its own GEP framework, missing the opportunity for institutional growth and commitment to gender equality. A ranks lower than D because it misrepresents a diversity statement as a GEP, neither adequately fulfilling the criteria nor ensuring compliance or genuine institutional change. C is the least aligned with the strategy, as it risks non-compliance by deferring the GEP development to a later stage, undermining the credibility and eligibility of the application from the outset.";"B -> D -> A -> C

B explicitly addresses all five mandatory Horizon Europe criteria before application and thus treats the GEP as a substantive framework rather than a box-ticking exercise. D satisfies the requirement administratively by partnering with a compliant institution but does not build parallel internal capacity. A misrepresents an existing statement as a GEP without building the mandated infrastructure. C defers compliance until after submission, risking ineligibility for the consortium.";"B -> D -> A -> C

Rather than seeking to manage the requirement indirectly, this action invests in a full Horizon-compliant Gender Equality Plan at the institutional level before submission, aligning with the programme's conditions and the Strategy's research-policy chapter."
P4-01;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Minutes, board meeting, 12 February 2025. Agenda item 7: workforce gender balance. The head of people presented data showing a 16.4% gender pay gap in the engineering division, unexplained after controlling for grade and tenure. The board noted the report. No resolution was adopted. The matter was deferred to the next quarterly review.
---";"1. equal_economy

The head of people must immediately implement pay-transparency obligations to address the unexplained gender pay gap, ensuring compliance with the EU Gender Equality Strategy 2020-2025 under the equal economy pillar. This action should be completed within one month to provide transparency and facilitate corrective measures.";"equal_economy

The head of people must launch an internal pay-mapping exercise covering engineering. Pay transparency, not just acknowledgment of the gap, is the Pillar's enabling condition.";"equal_economy

The board should have mandated an equal-pay audit of the engineering division, to identify the causes of unexplained pay disparities. This is the substantive step that converts the presence of a gap into corrective action, in line with the chapter's pay-gap commitments."
P4-02;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Compliance register entry, 3 March 2025. Directive (EU) 2022/2381 (Women on Boards). Company board composition: 7 non-executive directors, 1 of whom is female (14.3%). Compliance deadline: 30 June 2026. Status recorded as: 'under review.' No action plan on file.
---";"1. leadership_participation

The compliance officer must develop and file an action plan by the end of the current month to achieve the 40% non-executive director target by 30 June 2026, in accordance with Directive (EU) 2022/2381 under the leadership_participation pillar of the EU Gender Equality Strategy 2020-2025.";"leadership_participation

The governance committee must adopt a binding succession plan for the non-executive director positions with a published 40% target. The Directive's mid-2026 date leaves just eighteen months for credible pipeline work.";"leadership_participation

A board or nominating committee meeting should have been convened to begin developing the succession plan for the additional female non-executive directors required by 2026. Because non-executive appointments typically require significant lead time, this is the step that translates the Directive into an actionable timetable."
P4-03;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
HR system log, 8 January 2025. Three employees returned from maternity leave during Q4 2024. All three were assigned to teams different from their pre-leave teams. No recorded consultation. No documented portfolio-continuity agreement. One employee has submitted a grievance.
---";"1. equal_economy

The head of HR must immediately review and implement policies to ensure that any team reassignments after maternity leave occur with full consultation and documented agreements to maintain portfolio continuity, addressing work-life balance as required under the equal economy pillar of the EU Gender Equality Strategy 2020-2025. This should be actioned within two weeks to resolve the grievance and prevent further disputes.";"equal_economy

HR must implement documented portfolio-continuity agreements for all staff taking maternity leave. Both consultation and stability are framed as prerequisites for returning retention to pre-break levels.";"equal_economy

Line managers of the three affected employees should immediately have conducted portfolio-continuity discussions to agree any necessary adjustments to role, clients, or workload. These discussions operationalise the right to return from family leave without penalty or demotion."
P4-04;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Incident register, 14 November 2024. Report filed by employee A.K. alleging repeated unwanted physical contact by team supervisor over a period of six weeks. Report was received by the line manager of the supervisor, who conducted an informal conversation with the supervisor on 20 November. No formal investigation opened. A.K. has not been updated on the outcome.
---";"1. violence_stereotypes

The HR manager must immediately initiate a formal investigation into the allegations of unwanted physical contact, ensuring compliance with the violence_stereotypes pillar of the EU Gender Equality Strategy 2020-2025. This investigation should begin within one week to address and prevent gender-based violence in the workplace.";"violence_stereotypes

The compliance officer must initiate a formal investigation under the workplace anti-harassment policy and provide A.K. with both procedural protection and updates. Informal handling contravenes the requirement for structured accountability in cases of unwanted physical contact.";"violence_stereotypes

The HR department should have opened a formal investigation and notified the complainant of the process and expected timeline. Only a formal investigation can trigger the protections and procedural guarantees required by the chapter's harassment commitments."
P4-05;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Procurement record, 22 October 2024. Algorithmic candidate-screening system renewed for a further 24-month term. Vendor's documentation references historical hire data as training input. Internal audit from 2023 noted a statistically significant differential in rejection rates by candidate gender (31 percentage points). No follow-up action recorded. Contract includes no audit-rights or bias-mitigation clause.
---";"1. mainstreaming_intersectionality

The procurement manager must renegotiate the contract with the vendor to include audit rights and a bias-mitigation clause, addressing the statistically significant gender differential in rejection rates by applying an intersectional lens as required under the mainstreaming_intersectionality pillar of the EU Gender Equality Strategy 2020-2025. This should be completed within two months to ensure compliance and facilitate necessary adjustments.";"mainstreaming_intersectionality

The procurement officer must renegotiate the contract to include ongoing audit rights and a binding bias-mitigation clause. Auditing and clause-binding, not just awareness of the historic gap, are the formal instruments required to reverse intersectional exposure.";"mainstreaming_intersectionality

The renewed contract should have included an explicit audit-rights clause allowing the organisation to commission independent bias reviews, plus a requirement for bias-mitigation updates from the vendor. These clauses operationalise the intersectionality chapter's requirement to identify and correct systemic bias in automated decision systems."
P4-06;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Sustainability report data submission, 7 January 2025. ESRS S1 workforce disclosure section. Gender pay gap: 13.2%. Status: disclosed. Remediation plan: none on file. The report was submitted to the external auditor without a remediation timeline.
---";"1. equal_economy

The sustainability officer must develop and implement a remediation plan to address the 13.2% gender pay gap, including a clear timeline for corrective actions, in compliance with the equal economy pillar of the EU Gender Equality Strategy 2020-2025. This plan should be prepared and submitted within one month to address external audit requirements and drive progress on gender pay equality.";"equal_economy

A formal gender-pay-gap action plan must be adopted and tabled with the next board meeting. Disclosure without plan-and-timetable pairing is flagged as informational rather than operational compliance.";"equal_economy

A gender pay-gap remediation plan with a specific timeline should have been agreed with HR and appended to the audit submission. This converts static disclosure of the gap into a commitment to close it."
P4-07;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Meeting summary, diversity and inclusion working group, 5 February 2025. The group reviewed data showing a 91% male parental-leave take-up rate of zero days (non-transferable leave entitlement). The working group noted the figure. No proposals were tabled. The next meeting was scheduled for the following quarter.
---";"1. equal_economy

The diversity and inclusion manager must propose and initiate awareness and incentive programs to increase male parental-leave uptake, ensuring alignment with work-life balance goals under the equal economy pillar of the EU Gender Equality Strategy 2020-2025. This action should commence within one month to promote equitable parental responsibilities and improve gender equality in the workplace.";"equal_economy

HR leadership must mandate an opt-out rather than opt-in protocol for male parental leave, with line-manager accountability for activations. Noted without structural redesign, the 91% rate risks repeating trimestre-to-trimestre without visible effect.";"equal_economy

The working group should have commissioned a survey or focus-group exercise to determine the barriers to take-up of non-transferable leave. Understanding the reasons for non-use is a precondition for designing an intervention that corrects the imbalance."
P4-08;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
External funding report, regional managing authority, 28 November 2024. Project evaluation outcome: 43 projects approved. Gender-mainstreaming criterion: not scored. Evaluation panel composition: five members, all male. Outcome disclosure: project list published; no gender-disaggregated analysis of beneficiary data provided.
---";"1. mainstreaming_intersectionality

The regional managing authority must immediately revise the project approval process to include a scoring mechanism for the gender-mainstreaming criterion and ensure future evaluation panels incorporate gender diversity, in compliance with the mainstreaming_intersectionality pillar of the EU Gender Equality Strategy 2020-2025. Implement these changes before the next project cycle to ensure holistic compliance with gender mainstreaming objectives.";"mainstreaming_intersectionality

The managing authority must integrate gender-mainstreaming scoring into the next project-evaluation cycle and produce a gender-disaggregated beneficiary analysis for the current one. Internal composition and procedural visibility are framed as the two routes to entering mainstreaming discipline.";"mainstreaming_intersectionality

A retrospective gender-disaggregated outcome analysis of the 43 beneficiary projects should have been commissioned and appended to the published list. Because the mainstreaming criterion was not scored, this is now the only available route to ensuring the chapter's visibility requirement is met."
P4-09;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Annual leave administration record, 16 December 2024. Flexible working requests submitted: 14. Approved: 5. Rejected: 9. Rejection reason recorded in 7 of 9 cases as 'operational requirements.' Of the 9 rejected requests, 8 were submitted by employees with primary-carer status. No appeal process was offered.
---";"1. equal_economy

The head of HR must establish an appeal process for rejected flexible working requests and reassess past rejections, particularly for employees with primary-carer status, to ensure fair consideration in line with work-life balance commitments under the equal economy pillar of the EU Gender Equality Strategy 2020-2025. This should be implemented within one month to address any potential biases and support equitable workforce participation.";"equal_economy

The leave-admin team must implement an appeal mechanism for flexible working rejections, binding on the operational-requirement cases. Eight primary carer rejections without appeal imply no internal challenge mechanism to request-to-outcome causality.";"equal_economy

HR should have notified the eight primary-carer applicants of their right to appeal or discuss adjustments that would render their request grantable. An appeal process is the mechanism that converts 'operational requirements' from a block into a negotiable constraint."
P4-10;P4;"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Sales commission review, internal audit report, January 2025. Finding: commission scheme design allocates higher rates to account types historically held by male staff. Gender-disaggregated commission analysis was not included in the scheme's original design documentation. The scheme has not been reviewed since its introduction in 2017. The audit noted a 22% commission-income disparity by gender among equivalent-grade sales staff.
---";"1. equal_economy

The sales director must conduct an immediate review and redesign of the commission scheme to ensure equitable allocation among account types, incorporating a gender-disaggregated analysis to address the noted 22% income disparity in compliance with the equal economy pillar of the EU Gender Equality Strategy 2020-2025. This action should be completed within two months to ensure fair treatment and compensation practices.";"equal_economy

The finance director must redesign the commission scheme with gender-disaggregated intake calibration, eliminating historic-account-type logic as a rate determinant. Internal visibility without design logic remained leaves the 22% audit finding in unaltered structure.";"equal_economy

The sales leadership team should have commissioned a redesign of the commission scheme to equalise earning opportunities across account types. Only a scheme-level change can bring commission income into compliance with the equal-pay commitments."
P5-01;P5;"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A female senior partner at a professional services firm reports that she is excluded from informal client-entertainment events hosted by male partners, at which key relationship-building occurs. She also reports that she has been passed over for the three most recent committee-chair roles, which are all held by men. Her formal performance ratings are comparable to those of her male peers.
---";"Primary: leadership_participation  
Secondary: violence_stereotypes  

The primary pillar is leadership_participation because the scenario directly involves gender balance in decision-making positions, specifically through the exclusion of a female senior partner from opportunities that affect her leadership prospects and succession planning within the firm. The secondary pillar is violence_stereotypes because the scenario involves gender-based exclusion (a form of stereotyping) in informal events that affect professional advancement, reflecting stereotypical gender norms that hinder equal participation.";"Primary: leadership_participation  
Secondary: none

The scenario centres on exclusion from succession planning for committee-chair roles and informal power networks that affect senior appointments. It therefore directly engages gender balance in leadership rather than general labour-market participation.";"Primary: leadership_participation

The scenario primarily concerns exclusion from the networks and opportunities that feed into senior decision-making positions. The committee-chair appointments specifically target internal leadership allocation.

Secondary: equal_economy

Informal-client entertainment is treated here as a professional-development channel linked to earnings and promotion � making it fit as horizontal segregation within the economy rather than as leadership alone."
P5-02;P5;"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A Roma woman employed as a cleaning operative at a hospital reports that she is subject to comments about her appearance from a male ward manager, and that her requests for shift changes to accommodate childcare responsibilities are routinely denied while similar requests from non-Roma colleagues are approved.
---";"Primary: violence_stereotypes  
Secondary: mainstreaming_intersectionality  

The primary pillar is violence_stereotypes because the scenario involves unwanted comments about the woman's appearance, which falls under gender-based harassment and stereotypical treatment in the workplace. The secondary pillar is mainstreaming_intersectionality because the woman's experience of differential treatment regarding shift changes is compounded by her Roma identity, illustrating the intersection of gender and ethnicity.";"Primary: mainstreaming_intersectionality  
Secondary: none

The scenario combines gender with ethnicity (Roma) and caregiving, meaning policy must operate through an intersectional lens rather than a generic one. None of the other pillars is engaged at the same level of specificity.";"Primary: equal_economy

Shift-change denials compared with non-Roma colleagues tie this primarily to the discrimination-within-workplace strand of this pillar, as do unequal working conditions.

Secondary: violence_stereotypes

Comments about her appearance from a male manager are treated at the level of unwanted verbal behaviour rather than pay or progression, fitting this pillar's coverage of stereotyping within the workplace."
P5-03;P5;"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A technology company's annual pay-transparency report shows that the gender pay gap is 19% at senior-engineer grade. The head of engineering has stated in a team meeting that women are 'not naturally suited to systems architecture roles' and that the pay gap reflects 'different choices.' Three female engineers have subsequently submitted grievances.
---";"Primary: equal_economy  
Secondary: violence_stereotypes  

The primary pillar is equal_economy because the scenario specifically involves a gender pay gap at the senior-engineer grade and references pay-transparency reporting obligations aimed at addressing this issue. The secondary pillar is violence_stereotypes because the head of engineering's comments reflect gender stereotypes that perpetuate discriminatory perceptions about women's abilities in certain roles.";"Primary: equal_economy  
Secondary: violence_stereotypes

The 19% pay gap combined with the company's pay-transparency report places the scenario directly under the pillar for closing such gaps. The head's claim that women are 'not naturally suited' targets occupational stereotyping within the engineering profession rather than leadership or mainstreaming.";"Primary: equal_economy

The passage starts from a documented pay gap at senior-engineer grade, situating the company's situation squarely within pay-transparency obligations and gender-pay-gap closure.

Secondary: violence_stereotypes

The head of engineering's remarks about women's suitability and choices apply a stereotype to justify the gap � activating the stereotypes-combatting strand alongside the economic one."
P5-04;P5;"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A disability-support charity's senior leadership team is 100% male. The charity's service user base is 68% women with disabilities. The charity has not conducted a gender-equality impact assessment of its service delivery model or its governance structure.
---";"Primary: leadership_participation  
Secondary: mainstreaming_intersectionality  

The primary pillar is leadership_participation because the scenario highlights the lack of gender balance in the charity's senior leadership team, which is critical for ensuring diverse representation in decision-making positions. The secondary pillar is mainstreaming_intersectionality because the charity's oversight in assessing the gender-equality impact of its services, particularly for women with disabilities, involves failing to apply an intersectional gender perspective to its operations.";"Primary: leadership_participation  
Secondary: mainstreaming_intersectionality

The all-male leadership of a charity serving a majority of women with disabilities places governance rather than staffing at the centre of the problem. The absence of gender-equality impact assessment in a context where governance and service delivery are misaligned directly invokes the mainstreaming requirement.";"Primary: leadership_participation

A single-gender senior leadership team within a service-delivery organisation links most closely to this pillar's focus on balance where strategic decisions are taken.

Secondary: mainstreaming_intersectionality

Absence of a gender-equality impact assessment for service delivery and governance structure triggers the 'mainstreaming' strand alongside the leadership one, linking internal balance to external effects."
